CountryID,Country,Currency,Measure,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
826,United Kingdom,Pound Sterling,AMA exchange rate,0.54,0.50,0.54,0.64,0.65,0.62,0.63,0.64,0.61,0.65,0.74,0.78,0.75,0.78,0.78,0.73,0.81,0.80
826,United Kingdom,Pound Sterling,IMF based exchange rate,0.54,0.50,0.54,0.64,0.65,0.62,0.63,0.64,0.61,0.65,0.74,0.78,0.75,0.78,0.78,0.73,0.81,0.80
826,United Kingdom,,Population,"61,051,094","61,535,855","62,027,306","62,506,226","63,006,483","63,509,285","63,960,484","64,389,388","64,865,916","65,382,110","65,893,358","66,354,471","66,752,475","67,110,958","67,351,861","67,668,792","68,179,315","68,682,962"
840,United States,US Dollar,AMA exchange rate,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
840,United States,US Dollar,IMF based exchange rate,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
840,United States,,Population,"298,730,209","301,844,226","304,970,333","308,023,454","311,062,790","314,105,078","317,115,355","320,110,759","323,115,377","326,126,497","329,179,427","332,204,660","335,056,497","337,790,067","339,436,159","340,161,441","341,534,046","343,477,335"
858,Uruguay,Peso Uruguayo,AMA exchange rate,24.07,23.47,20.95,22.57,20.06,19.31,20.31,20.48,23.25,27.33,30.16,28.68,30.73,35.26,42.01,43.55,41.17,38.82
858,Uruguay,Peso Uruguayo,IMF based exchange rate,24.07,23.47,20.95,22.57,20.06,19.31,20.31,20.48,23.25,27.33,30.16,28.68,30.73,35.26,42.01,43.55,41.17,38.82
858,Uruguay,,Population,"3,289,506","3,295,153","3,302,177","3,310,091","3,318,580","3,326,825","3,335,401","3,345,337","3,356,334","3,368,017","3,379,283","3,388,438","3,394,534","3,397,206","3,398,968","3,396,695","3,390,913","3,388,081"
810,USSR (Former),Ruble,AMA exchange rate,,,,,,,,,,,,,,,,,,
810,USSR (Former),Ruble,IMF based exchange rate,,,,,,,,,,,,,,,,,,
810,USSR (Former),,Population,,,,,,,,,,,,,,,,,,
860,Uzbekistan,Uzbekistan Sum,AMA exchange rate,"1,215.60","1,260.83","1,314.17","1,458.75","1,578.42","1,706.61","1,878.68","2,094.99","2,310.95","2,567.99","2,965.25","5,113.88","8,069.61","8,836.79","10,054.26","10,609.46","11,050.15","11,734.83"
860,Uzbekistan,Uzbekistan Sum,IMF based exchange rate,"1,215.60","1,260.83","1,314.17","1,458.75","1,578.42","1,706.61","1,878.68","2,094.99","2,310.95","2,567.99","2,965.25","5,113.88","8,069.61","8,836.79","10,054.26","10,609.46","11,050.15","11,734.83"
860,Uzbekistan,,Population,"26,699,043","27,076,008","27,494,774","27,939,328","28,385,506","28,823,196","29,261,903","29,724,065","30,222,994","30,749,346","31,284,568","31,819,178","32,373,490","32,964,701","33,586,372","34,243,696","34,938,955","35,652,307"
